Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1241,0,130.0,1012.990039725936,39.90210001938976,13361.968399985926,6551.925060435133,20.8992303872816,0.0,130,1100,1200,1200,3200,4200,6300,6400,10000,13000,13000
,Aggregated,1241,0,130.0,1012.990039725936,39.90210001938976,13361.968399985926,6551.925060435133,20.8992303872816,0.0,130,1100,1200,1200,3200,4200,6300,6400,10000,13000,13000
