Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3845,0,110.0,699.2612135238477,39.306100021349266,12414.91519997362,5588.520936280885,32.374690660693545,0.0,110,130,1100,1100,3100,3200,4200,6200,7300,12000,12000
,Aggregated,3845,0,110.0,699.2612135238477,39.306100021349266,12414.91519997362,5588.520936280885,32.374690660693545,0.0,110,130,1100,1100,3100,3200,4200,6200,7300,12000,12000
