Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4466,0,34,376.1542176221756,10.976399993523955,9314.041499979794,17637.49037169727,37.58923986411923,0.0,34,94,100,110,1100,3200,4100,4200,7300,9300,9300
,Aggregated,4466,0,34,376.1542176221756,10.976399993523955,9314.041499979794,17637.49037169727,37.58923986411923,0.0,34,94,100,110,1100,3200,4100,4200,7300,9300,9300
