Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1746674952,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1746674953,2,,Aggregated,0.000000,0.000000,540,540,540,540,540,540,540,540,540,540,540,2,0,480.0,507.0222499925876,477.0548999949824,536.9895999901928,2443.0
1746674954,4,,Aggregated,0.000000,0.000000,480,480,540,540,540,540,540,540,540,540,540,4,0,400.0,450.1451999967685,384.00170000386424,536.9895999901928,2443.0
1746674955,6,,Aggregated,0.000000,0.000000,330,380,400,480,540,540,540,540,540,540,540,9,0,330.0,306.2332666660142,81.79710002150387,536.9895999901928,2443.0
1746674956,8,,Aggregated,1.000000,0.000000,330,380,400,480,540,540,540,540,540,540,540,10,0,330.0,289.6335600002203,81.79710002150387,536.9895999901928,2443.0
1746674957,10,,Aggregated,1.666667,0.000000,380,460,480,480,1100,1500,1500,1500,1500,1500,1500,16,0,330.0,418.11542499817733,81.79710002150387,1472.0275000145193,6446.75
1746674958,12,,Aggregated,2.250000,0.000000,330,460,480,540,1200,1200,1500,1500,1500,1500,1500,21,0,330.0,455.47805714055096,81.79710002150387,1472.0275000145193,6502.619047619048
1746674959,14,,Aggregated,2.000000,0.000000,330,460,540,1100,1300,1500,3500,3500,3500,3500,3500,27,0,330.0,548.7479555530525,41.48060001898557,3523.7885000242386,6385.37037037037
1746674960,16,,Aggregated,3.000000,0.000000,180,380,460,540,1300,3200,3500,3500,3500,3500,3500,38,0,170.0,494.2577236820637,14.3773999880068,3523.7885000242386,8313.421052631578
1746674961,18,,Aggregated,3.571429,0.000000,150,330,460,540,1200,1500,3500,3500,3500,3500,3500,45,0,150.0,453.0137511093118,14.3773999880068,3523.7885000242386,7871.177777777778
1746674962,20,,Aggregated,3.750000,0.000000,110,180,380,460,1200,3100,3200,3500,3500,3500,3500,57,0,110.0,422.54369473697517,14.3773999880068,3523.7885000242386,9499.38596491228
1746674963,22,,Aggregated,4.777778,0.000000,100,160,200,380,1200,1500,3200,3500,3500,3500,3500,71,0,100.0,353.7059619725177,14.3773999880068,3523.7885000242386,11455.81690140845
1746674964,24,,Aggregated,4.900000,0.000000,100,140,200,380,1200,1500,3200,3500,3500,3500,3500,84,0,100.0,357.9709714297981,13.75660000485368,3523.7885000242386,12093.809523809523
1746674965,26,,Aggregated,5.900000,0.000000,100,140,190,380,1200,3100,3200,3500,3500,3500,3500,95,0,100.0,367.4386578958212,13.708499987842515,3523.7885000242386,12773.8
1746674966,30,,Aggregated,7.300000,0.000000,100,140,200,380,1200,1500,3200,3200,3500,3500,3500,107,0,100.0,365.2406140196868,13.708499987842515,3523.7885000242386,13464.0
1746674967,32,,Aggregated,8.300000,0.000000,83,130,180,210,1200,1300,3200,3200,3500,3500,3500,127,0,83,324.94212992170344,13.708499987842515,3523.7885000242386,14990.811023622047
1746674968,34,,Aggregated,8.900000,0.000000,81,130,180,210,1200,1500,3200,3200,3500,3500,3500,140,0,79,329.96667071482597,13.708499987842515,3523.7885000242386,15431.971428571429
1746674969,36,,Aggregated,10.600000,0.000000,73,110,160,200,1200,1500,3200,3200,3500,3500,3500,164,0,71,328.21322012254,13.708499987842515,3523.7885000242386,15814.378048780487
1746674970,38,,Aggregated,10.900000,0.000000,63,110,150,190,1200,3100,3200,3200,3500,3500,3500,181,0,63,337.3553000003979,13.708499987842515,3523.7885000242386,16399.03314917127
1746674971,40,,Aggregated,11.800000,0.000000,57,110,140,170,1200,1500,3200,3200,3500,3500,3500,203,0,57,306.4582788183588,13.708499987842515,3523.7885000242386,16927.566502463054
1746674972,42,,Aggregated,13.500000,0.000000,51,100,130,160,1200,1300,3200,3200,3500,3500,3500,224,0,51,287.0168781256715,13.708499987842515,3523.7885000242386,17298.48660714286
1746674973,44,,Aggregated,14.100000,0.000000,47,94,120,140,540,1200,3200,3200,3500,3500,3500,247,0,47,263.6438744942241,13.708499987842515,3523.7885000242386,18088.574898785424
1746674974,46,,Aggregated,15.800000,0.000000,46,94,120,140,460,1200,3200,3200,3500,3500,3500,272,0,42,248.87870441200315,13.708499987842515,3523.7885000242386,18325.70588235294
1746674975,48,,Aggregated,16.900000,0.000000,44,84,110,130,460,1200,3200,3200,3500,3500,3500,298,0,42,241.93726476520573,13.708499987842515,3523.7885000242386,18832.21812080537
1746674976,50,,Aggregated,17.300000,0.000000,42,82,110,130,400,1200,3200,3200,3500,3500,3500,322,0,41,241.01460993818517,13.708499987842515,3523.7885000242386,19149.524844720498
1746674977,52,,Aggregated,18.600000,0.000000,39,78,110,130,330,1200,3200,3200,3500,3500,3500,350,0,39,224.87639285732126,13.623999984702095,3523.7885000242386,19733.411428571428
1746674978,54,,Aggregated,20.400000,0.000000,38,77,110,120,230,1200,3200,3200,4200,4200,4200,379,0,38,222.6405348286271,13.623999984702095,4248.842799977865,19932.042216358837
1746674979,56,,Aggregated,20.600000,0.000000,36,73,100,120,200,1200,3200,3200,4200,4200,4200,417,0,36,221.35966642665102,13.623999984702095,4248.842799977865,20305.390887290167
1746674980,58,,Aggregated,22.600000,0.000000,36,71,100,120,200,1200,3200,3200,4200,4200,4200,438,0,35,219.81775639225202,13.623999984702095,4248.842799977865,20489.246575342466
1746674981,60,,Aggregated,23.800000,0.000000,34,66,100,110,200,1200,3200,3200,4200,4200,4200,470,0,34,212.34271042488584,13.623999984702095,4248.842799977865,20775.497872340424
1746674982,62,,Aggregated,25.300000,0.000000,33,56,96,110,180,1200,3200,3200,4200,4200,4200,509,0,33,198.99752514685224,13.623999984702095,4248.842799977865,21248.223968565817
1746674983,64,,Aggregated,25.700000,0.000000,33,51,94,110,170,1200,3200,3200,4200,4200,4200,539,0,33,192.19297680847004,13.623999984702095,4248.842799977865,21472.33951762523
1746674984,66,,Aggregated,26.600000,0.000000,32,51,90,110,170,1200,3200,3200,4200,4200,4200,572,0,32,197.61816923048835,13.623999984702095,4248.842799977865,21688.99125874126
1746674985,68,,Aggregated,28.100000,0.000000,32,48,86,110,170,1200,3200,3200,4200,4200,4200,608,0,32,195.09302631544605,13.623999984702095,4248.842799977865,21809.53125
1746674987,70,,Aggregated,29.300000,0.000000,32,48,86,110,160,1200,3200,3200,4200,4200,4200,644,0,32,191.9670403721798,13.623999984702095,4248.842799977865,21980.74689440994
1746674988,72,,Aggregated,29.800000,0.000000,32,48,83,100,150,1200,3200,3200,4200,4200,4200,686,0,32,183.2291483961819,13.623999984702095,4248.842799977865,22158.862973760934
