Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1746667815,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1746667816,2,,Aggregated,0.000000,0.000000,260,260,260,260,260,260,260,260,260,260,260,2,0,250.70679999771528,255.61649999872316,250.70679999771528,260.52619999973103,2443.0
1746667817,6,,Aggregated,0.000000,0.000000,250,250,260,260,260,260,260,260,260,260,260,4,0,200.0,220.14860000490444,171.00170001504011,260.52619999973103,2443.0
1746667818,8,,Aggregated,0.000000,0.000000,200,210,250,250,260,260,260,260,260,260,260,8,0,170.0,178.24853750062175,95.67129999049939,260.52619999973103,4044.5
1746667819,10,,Aggregated,2.000000,0.000000,210,210,260,260,1200,1300,1300,1300,1300,1300,1300,12,0,200.0,349.082033331797,95.67129999049939,1293.1320999923628,5646.0
1746667820,12,,Aggregated,2.666667,0.000000,210,210,260,260,1200,1300,1300,1300,1300,1300,1300,16,0,200.0,365.2269937501842,95.67129999049939,1293.1320999923628,5646.0
1746667821,14,,Aggregated,3.000000,0.000000,210,250,1200,1200,1200,1200,1300,1300,1300,1300,1300,23,0,210.0,436.55149130474615,82.2803000046406,1293.1320999923628,5785.260869565217
1746667822,16,,Aggregated,3.000000,0.000000,210,230,1100,1200,1200,1200,1300,1300,1300,1300,1300,28,0,200.0,414.6635535726091,82.2803000046406,1293.1320999923628,5646.0
1746667823,18,,Aggregated,3.500000,0.000000,210,250,1200,1200,1200,1300,1300,1300,1300,1300,1300,35,0,210.0,452.82130571680943,82.2803000046406,1293.1320999923628,5737.5142857142855
1746667824,20,,Aggregated,3.571429,0.000000,210,250,1200,1200,1200,1200,1300,1300,1300,1300,1300,43,0,210.0,466.788790699062,82.2803000046406,1293.1320999923628,6018.441860465116
1746667825,22,,Aggregated,4.250000,0.000000,170,220,1100,1200,1200,1300,1300,1300,1300,1300,1300,53,0,170.0,442.5730000009523,82.2803000046406,1293.1320999923628,6069.037735849057
1746667826,24,,Aggregated,4.555556,0.000000,170,230,1100,1200,1200,1300,1300,1300,1300,1300,1300,58,0,140.0,452.28161379405907,82.2803000046406,1293.1320999923628,6198.241379310345
1746667827,26,,Aggregated,4.800000,0.000000,130,220,1100,1200,1200,1300,1300,3200,3200,3200,3200,65,0,130.0,478.30143384725,82.2803000046406,3173.0822999961674,6188.046153846154
1746667828,28,,Aggregated,5.400000,0.000000,200,260,1200,1200,1300,1300,3200,3200,3200,3200,3200,75,0,200.0,574.1558040018814,82.2803000046406,3216.608200018527,6201.1866666666665
1746667829,30,,Aggregated,5.700000,0.000000,170,260,1200,1200,1300,3200,3300,3300,3300,3300,3300,85,0,170.0,633.7681376491673,82.2803000046406,3325.8480000076815,6361.964705882353
1746667830,32,,Aggregated,6.500000,0.000000,200,1100,1200,1200,1300,3200,3300,4200,4200,4200,4200,97,0,200.0,708.2974773212984,82.2803000046406,4231.400999997277,6669.639175257732
1746667831,34,,Aggregated,7.100000,0.000000,170,260,1200,1200,1300,3200,3300,3300,4200,4200,4200,110,0,170.0,685.4592363649069,64.32340000174008,4231.400999997277,6636.018181818182
1746667832,36,,Aggregated,7.800000,0.000000,170,1100,1200,1200,3200,3200,3300,4200,4200,4200,4200,128,0,170.0,756.2792703138257,52.54400000558235,4238.681199989514,6446.75
1746667833,38,,Aggregated,8.300000,0.000000,130,250,1200,1200,3200,3200,3300,4200,4200,4200,4200,144,0,130.0,724.4022118067935,43.65710000274703,4238.681199989514,6268.805555555556
1746667834,40,,Aggregated,9.600000,0.000000,130,230,1200,1200,3100,3200,3300,4200,4200,4200,4200,162,0,130.0,705.9437129644743,42.30090000783093,4238.681199989514,6080.975308641975
1746667835,42,,Aggregated,10.000000,0.000000,130,220,1100,1200,3100,3200,3300,4200,4200,4200,4200,181,0,130.0,665.2547060788573,38.718199997674674,4238.681199989514,5840.657458563536
1746667836,44,,Aggregated,11.700000,0.000000,130,220,1100,1200,3100,3200,3300,4200,4200,4200,4200,202,0,130.0,649.0631143579496,38.718199997674674,4238.681199989514,5804.564356435643
1746667837,46,,Aggregated,12.700000,0.000000,130,210,1100,1200,1300,3200,3300,4200,4200,4200,4200,225,0,130.0,628.6768764454043,38.718199997674674,4238.681199989514,5688.706666666667
1746667838,48,,Aggregated,13.900000,0.000000,130,220,1100,1200,1300,3200,3300,4200,4200,4200,4200,244,0,130.0,638.7856516402146,38.718199997674674,4238.681199989514,5803.524590163935
1746667839,50,,Aggregated,15.500000,0.000000,130,210,1100,1100,1300,3200,3300,4200,4200,4200,4200,258,0,130.0,619.219314729544,38.718199997674674,4238.681199989514,5869.46511627907
1746667840,52,,Aggregated,16.000000,0.000000,130,210,1100,1100,1300,3200,3300,4200,4200,4200,4200,278,0,130.0,613.4344010798951,38.718199997674674,4238.681199989514,5945.561151079137
1746667841,54,,Aggregated,17.000000,0.000000,130,210,1100,1100,1300,3200,3300,4200,4200,4200,4200,301,0,130.0,620.7361033229247,38.718199997674674,4238.681199989514,6061.006644518273
1746667842,56,,Aggregated,18.100000,0.000000,130,220,1100,1200,3100,3200,4200,4200,4200,4200,4200,318,0,130.0,672.1855616355322,38.718199997674674,4238.681199989514,6069.037735849057
1746667843,58,,Aggregated,18.700000,0.000000,130,220,1100,1200,3100,3200,4200,4200,4200,4200,4200,332,0,130.0,681.6102075303733,38.718199997674674,4238.681199989514,6109.084337349397
