Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3724,0,130.0,772.2775620837132,39.02399999788031,10365.10910000652,5945.313641245972,31.35828895926416,0.0,130,170,1100,1200,3200,3200,4200,6300,9300,10000,10000
,Aggregated,3724,0,130.0,772.2775620837132,39.02399999788031,10365.10910000652,5945.313641245972,31.35828895926416,0.0,130,170,1100,1200,3200,3200,4200,6300,9300,10000,10000
